TURN,UTTERANCE,DA,EMOTION
Ses05F_impro01_F000,"Hi, I need an ID.",s,neu
Ses05F_impro01_M000,"ahh Yeah, this is the wrong line.  I'm sorry.  You need to go back over to line two B.  That's where you should have started from.",s,neu
Ses05F_impro01_FXX0,No.,b,-
Ses05F_impro01_F001,"Okay, I'm sorry, but I just stood in this line for an hour.  can I Is there any way I can-",q,fru
Ses05F_impro01_M001,"I mean, there's really nothing I can do for you in this line.  This is not the line for new I.D.  This is the line for registration.",ans,xxx
Ses05F_impro01_F002,"No, they told me-I'm sorry, but they told me to be in this line.",s,fru
Ses05F_impro01_M002,"Yeah, I understand that ma'am.  I don't know what they said to you, but you need to be in a different line.",s,xxx
Ses05F_impro01_F003,"What, I mean what... what's the difference?  What do I need to do there that I can't do here?",q,fru
Ses05F_impro01_M003,"Well, I have no camera here.  I can't help you at all here, ma'am.  I have forms for something completely different.  You need to go to a different place.",ans,neu
Ses05F_impro01_F004,Can you just-can I just get the right-,q,fru
Ses05F_impro01_M004,"Simply step to line two A, ma'am, I'm sorry.",ap,fru
Ses05F_impro01_F005,Would you be able to put me at the front of that line?,q,fru
Ses05F_impro01_M005,There is a large line of people behind you waiting to be--,ans,fru
Ses05F_impro01_F006,I know.  I've been in line with these people.  I understand.  I understand what it's like.  Could you please like call over and-,q,fru
Ses05F_impro01_M006,"I don't want to be rude here, ma'am, but line two B is where you need to be.  This is the line for registration.",s,fru
Ses05F_impro01_F007,"I hear that.  I hear that.  Thank you, but I've waited in line for so long, and I don't want to have to be here all day.",s,fru
Ses05F_impro01_M007,I don't have those-,s,fru
Ses05F_impro01_F008,"So could I maybe get the form from you, fill it out here- and maybe you could-",q,neu
Ses05F_impro01_M008,"I don't have those forms, ma'am.  I can't help you.  That's why you need to go to line two A.",ans,fru
Ses05F_impro01_F009,And how long is that going to take?,q,fru
Ses05F_impro01_M009,"Ma'am, obviously I have no idea how long it's taking.  There seems to be a bit of a line there.  It looks like thirty forty people.  It could take four to five hours.  I'm sorry.",ans,fru
Ses05F_impro01_F010,I don't-,s,fru
Ses05F_impro01_M010,"There's nothing I can do for you, ma'am.",s,fru
Ses05F_impro01_F011,"I don't have time for this today, and-",s,fru
Ses05F_impro01_M011,"But, obviously I don't have time for you to stand here and waste my time in this line.  There are other people who need service behind you who are waiting for the right things.",s,fru
Ses05F_impro01_F012,"Is there anything you can do?  Please, have some compassion.  Is there something you can do?",q,fru
Ses05F_impro01_M012,"I am a very compassionate person, and I'm offended that you imply that I'm not.  Of course, I'm compassionate.  Look, I work in the D.M.V..  What do you think I am?  Go wait in line two A.",ans,fru
Ses05F_impro01_M013,Don't ask me to have somebody else come over here and move you myself.  I can't come back over there.  I'll get security if you need me to.,o,fru
Ses05F_impro01_F013,"Please, I don't think that's necessary.  I'm just asking, maybe you could call over and say that somebody miss informed her because I didn't pick to stand in this line.  I asked them where to stand, and they told me here.",s,fru
Ses05F_impro01_M014,"what, no, I'm sure they did not tell you here.",dag,fru
Ses05F_impro01_F014,"No, they did.  The lady over there told me to stand in this line and I've been here for an hour.",dag,fru
Ses05F_impro01_M015,"what The lady, what? the janitor?",q,fru
Ses05F_impro01_F015,No.,ans,fru
Ses05F_impro01_M016,"You asked the janitor what line to stand in?  Obviously, that's not going to be the right thing.",s,xxx
Ses05F_impro01_F016,"No, I'm not, I'm sorry.I'm not stupid.",dag,fru
Ses05F_impro01_M017,"I'm not saying that you're stupid, ma'am.  I think you just said that you were stupid.",s,fru
Ses05F_impro01_F017,Isn't there anything you can do?  Just call over and ask them if I can go to the front of the line in the other line.,q,ang
Ses05F_impro01_M018,"It doesn't work that way here, ma'am.",ans,fru
Ses05F_impro01_F018,Why not?,q,ang
Ses05F_impro01_M019,There is a strict system here.  You need to wait in the right line for the right thing.  This is the line for registration.,ans,fru
Ses05F_impro01_F019,"Except they're going tell, are you going to tell me the right line to stand in this time at least?",q,fru
Ses05F_impro01_M020,I told you it was line two A.,ans,fru
Ses05F_impro01_F020,"Right, well, last time they told me, it was this line, and obviously, it's not true.",s,ang
Ses05F_impro01_M021,I don't know who told you that but they were wrong.  I'm sorry.,ap,fru
Ses05F_impro01_F021,Do you have a manager I could speak with?,q,fru
Ses05F_impro01_M022,I am the manager.,ans,xxx
Ses05F_impro01_F022,Are you being straight with me?,q,fru
Ses05F_impro01_M023,"I'm being very straight with you, ma'am.  There is nothing I can do for you.  You need to stand in line two A.",ans,fru
Ses05F_impro01_F023,Fine.,ag,fru
Ses05F_impro01_M024,Thank you very much.  You have a wonderful day.,g,xxx
Ses05F_impro02_F000,"baby, I need you to sit down.",s,xxx
Ses05F_impro02_M000,What is it?,q,neu
Ses05F_impro02_F001,um.,b,sad
Ses05F_impro02_M001,You can say it.,s,xxx
Ses05F_impro02_F002,I'm sorry.  It's just a lot ahh to explain. ahh I got a call--,s,sad
Ses05F_impro02_M002,Are you all right?,q,xxx
Ses05F_impro02_F003,"Yeah, um everything's fine so far. um",ans,xxx
Ses05F_impro02_F004,"I got a call today,",s,sad
Ses05F_impro02_FXX0,And um--,b,-
Ses05F_impro02_M003,okay.,b,xxx
Ses05F_impro02_F005,I'm going to need to go overseas for a while.,s,sad
Ses05F_impro02_M004,You got called up.,s,ang
Ses05F_impro02_F006,Iraq.,s,fea
Ses05F_impro02_M005,I thought you said this wasn't going to happen for at least a year.,o,ang
Ses05F_impro02_F007,"I'm sorry.  I thought so. ""sigh""",ap,xxx
Ses05F_impro02_M006,What am I going to do?,q,fru
Ses05F_impro02_F008,"I don't know ""sigh"".",ans,sad
Ses05F_impro02_M007,I can't do this by myself. I I don't know how to do this.  You know how to do this.,o,xxx
Ses05F_impro02_M008,The kids-,s,fru
Ses05F_impro02_F009,I know.  I know.,ag,sad
Ses05F_impro02_M009,Nobody's even here.  Your parents live on the other side of the country.,s,xxx
Ses05F_impro02_F010,"I know.  Well, we'll have to figure all that out.  I mean, I think the Army's going to provide childcare and help us out with that. um.",o,sad
Ses05F_impro02_M010,Where do you have to go?  Where are you going?,q,ang
Ses05F_impro02_F011,Iraq.,ans,sad
Ses05F_impro02_M011,What are you going to do there?  Is it going to be dangerous?  What are you-?,q,xxx
Ses05F_impro02_F012,I think infantry.  I'm not sure.,ans,sad
Ses05F_impro02_M012,It's--,s,xxx
Ses05F_impro02_M013,Can we do something else?  Can you tell them that you just had two kids?,q,xxx
Ses05F_impro02_F013,"It's going to be at least six months, probably a year. I tried.",ans,fru
Ses05F_impro02_M014,I don't understand why they would just do something like this?,q,ang
Ses05F_impro02_F014,"I know, I know.  It's really, really messed up.",ans,fru
Ses05F_impro02_M015,It doesn't make any sense.  It's stupid.  I told you you shouldn't go in the Army.,o,ang
Ses05F_impro02_F015,"Believe me, if I had a choice, I wouldn't have chosen this.",o,xxx
Ses05F_impro02_M016,I don't know I don't know what I'm going to do.  I don't know how to-,o,fru
Ses05F_impro02_F016,"You don't know how to what?  You'll be fine. I mean, you're a great parent. I know.",o,xxx
Ses05F_impro02_M017,"They're six months old. Six months old, they're tiny.",s,xxx
Ses05F_impro02_M018,I can't do this.  I've never done this before.  I don't know anything about this.,s,xxx
Ses05F_impro02_F017,"Well, maybe you should move in with my mom and she can help.",o,fru
Ses05F_impro02_M019,"Your Your mom, you want me to move in with your mom?",q,sur
Ses05F_impro02_F018,"I don't know, I'm just--I'm trying to think of something.",ans,fru
Ses05F_impro02_M020,She doesn't even like me.  She's never liked me. No.,o,xxx
Ses05F_impro02_F019,"She likes you. Of course, she likes you.",dag,xxx
Ses05F_impro02_MXX0,...,oth,-
Ses05F_impro02_M021,She likes you.  She likes the kids.,o,xxx
Ses05F_impro02_M022,"I no I can't- ""sigh""",s,xxx
Ses05F_impro02_F020,You can't what?,q,fru
Ses05F_impro02_M023,I can't let you go.  I can't let you go.  I'll call them.  I'll say something.  I'll do anything.  I'll tell them something different.,ans,xxx
Ses05F_impro02_F021,I don't think there's anything we can do.,o,sad
Ses05F_impro02_M024,I'll tell them I'm sick and that you can't leave something.,s,sad
Ses05F_impro02_F022,"Well, we can try it.  Baby, don't beg me.  I mean, if there were anything that I could do, I would do it.  Believe me.  This is not what I want.",o,xxx
Ses05F_impro02_M025,It's not fair.,o,sad
Ses05F_impro02_F023,I know.  I know it's not fair.,ag,sad
Ses05F_impro02_M026,Why has to be you?  There's all those other people.  Somebody else can go instead.  It's not right.,o,sad
Ses05F_impro02_F024,"Well, apparently nobody else can go.",o,sad
Ses05F_impro02_M027,What are you going to do that's any different than anybody else?,q,xxx
Ses05F_impro02_F025,"I don't know.  Baby, why are you asking me this?  It's just as hard for me.  Please, try to understand that.",ans,fru
Ses05F_impro02_M028,"I don't know.  It's not me, so I'm the one who has to stay here.  I'm the one who has to take care of them, and I don't have-I don't have anybody else.  You're all I have.",s,xxx
Ses05F_impro02_F026,"I understand, baby.  I'm sorry. I mean try to understand I'm I'm scared myself.",ag,fru
Ses05F_impro02_M029,I understand.  I'm worried about you.  I don't know what's going to happen to you.,o,sad
Ses05F_impro02_F027,I know.,ag,sad
Ses05F_impro02_M030,Iraq of all-come on.  People die every day.,s,xxx
Ses05F_impro02_F028,I know.,ag,sad
Ses05F_impro02_M031,I jus-,b,sad
Ses05F_impro02_F029,We'll figure something out.  We just have to ... we just have to think about this.  Could any of your family help us?,q,sad
Ses05F_impro02_M032,I don't know.,ans,sad
Ses05F_impro02_F030,Maybe we should call your parents.,o,xxx
Ses05F_impro02_M033,Yeah.  I guess.  I don't know what they're going to say.,ag,sad
Ses05F_impro02_M034,"Yeah, we'll call them.  We'll figure something out.  I'm sorry, I'm sorry, I'm sorry.  You're right.",ap,sad
Ses05F_impro02_F031,I'm going to miss their first words.,o,sad
Ses05F_impro02_M035,I know.,ag,sad
Ses05F_impro02_F032,You'll have to send me pictures and letters everyday.,s,sad
Ses05F_impro02_M036,"All the time, every day, every day.  They have e-mail over there and stuff like that, right? I can send you pictures.",ag,sad
Ses05F_impro02_F033,I don't know. I hope so.,o,xxx
Ses05F_impro02_M037,You have to call me all the time whenever you can.  You have to tell me what you're doing and how you're doing.  Okay?,q,xxx
Ses05F_impro02_F034,"Yeah, as much as I can.",ans,sad
Ses05F_impro02_M038,How long do we have?  When do you leave?,q,xxx
Ses05F_impro02_F035,sigh Three weeks.,ans,sad
Ses05F_impro02_M039,Three weeks?,q,sur
Ses05F_impro02_F036,Yeah.,ans,sad
Ses05F_impro02_M040,"I don't Okay.  Okay, we can do this.  We can do this.  It's okay.  We'll make it work.",o,xxx
Ses05F_impro02_F037,Yeah.,ag,sad
Ses05F_impro02_M041,I love you.,o,sad
Ses05F_impro02_F038,"I love you.  I'm going to miss you so much. ""sigh""",o,sad
Ses05F_impro03_F000,"Okay, so big news.",s,exc
Ses05F_impro03_M000,What?,q,exc
Ses05F_impro03_M001,"Come on, what?",q,exc
Ses05F_impro03_F001,I'm getting married.,ans,exc
Ses05F_impro03_M002,Shut up.,c,sur
Ses05F_impro03_F002,Yeah.,ag,exc
